Content,EventTemplate
inconsistent nodesets node-191 0x1fffffffc <ok> node-162 0x1fffffffc <ok> node-161 0x1fffffffc <ok> node-165 0x1fffffffc <ok> node-170 0x1fffffffc <ok> node-175 0x1fffffffc <ok> node-189 0x1fffffffc <ok> node-177 0x1fffffffc <ok> node-169 0x1fffffffc <ok> node-173 0x1fffffffc <ok> node-172 0x1fffffffc <ok> node-163 0x1fffffffc <ok> node-174 0x1fffffffc <ok> node-187 0x1fffffffc <ok> node-178 0x1fffffffc <ok> node-184 0x1fffffffc <ok> node-168 0x1fffffffc <ok> node-166 0x1fffffffc <ok> node-181 0x1fffffffc <ok> node-190 0x1fffffffc <ok> node-167 0x1fffffffc <ok> node-183 0x1fffffffc <ok> node-180 0x1fffffffc <ok> node-182 0x1fffffffc <ok> node-164 0x1fffffffc <ok> node-171 0x1fffffffc <ok> node-188 0x1fffffffc <ok> node-185 0x1fffffffc <ok> node-186 0x1fffffffc <ok> node-176 0x1fffffffc <ok> node-179 0x1fffffffc <ok> node-160 0x1fffffffe <ok>,inconsistent nodesets {nodesets_info} {nodesets_info} <ok> {nodesets_info} {nodesets_info} <ok>
Fan speeds ( 3552 3552 3391 4245 3515 3497 ),Fan speeds ( {speed_list} )
Targeting domains:node-D[1\ 3-7] and nodes:node-[32-63\ 127-159\ 161\ 163\ 165\ 194\ 238\ 253\ 255],Targeting domains:{node_info} and nodes:{node_info}
ClusterFileSystem: There is no server for ServerFileSystem domain storage1034,ClusterFileSystem: There is no server for ServerFileSystem domain {storage_name}
NIFF: node node-157 detected a failed network connection on network 5.5.226.0 via interface alt0,NIFF: node {node_id} detected a failed network connection on network {ip} via interface {interface_name}
member_delete (command 1908),member_delete (command {number})
Command has completed successfully,Command has completed successfully
Temperature (41C) exceeds warning threshold,Temperature {temperature} exceeds warning threshold
ClusterFileSystem: ServerFileSystem domain root13_domain is no longer served by node node-140,ClusterFileSystem: ServerFileSystem domain {domain_name} is no longer served by node {node_info}
psu failure\ ambient=26,psu failure\ ambient={number}
Link error on broadcast tree Interconnect-0T00:00:2:1,Link error on broadcast tree {tree_name}
1 failed to configure resourcemgmt subsystem err = 10,{number} failed to configure resourcemgmt subsystem err = {number}
Targeting domains:node-D3 and nodes:node-127,Targeting domains:{node_info} and nodes:{node_info}
PSU status ( on off ),PSU status ( {status} {status} )
ClusterFileSystem: There is no server for ServerFileSystem domain cluster_root,ClusterFileSystem: There is no server for ServerFileSystem domain {domain_name}
Command Failed on: node-D4,Command Failed on: {node_info}
Failed subcommands 3503,Failed subcommands {number}
power/control ok,power/control ok
ServerFileSystem: ServerFileSystem domain root1_local is full,ServerFileSystem: ServerFileSystem domain {domain_name} is full
ClusterFileSystem: ServerFileSystem domain cluster_var_backup is no longer served by node node-224,ClusterFileSystem: ServerFileSystem domain {domain_name} is no longer served by node {node_info}
inconsistent nodesets node-128 0x00000002 <ok> node-131 0x0000003e <ok> node-130 0x0000003e <ok> node-129 0x0000003e <ok> node-132 0x0000003e <ok>,inconsistent nodesets {nodesets_info} {nodesets_info} <ok> {nodesets_info} {nodesets_info} <ok>
wait (command 1894),wait (command {number})
Targeting domains:node-D7 and nodes:node-[239-242],Targeting domains:{node_info} and nodes:{node_info}
Targeting domains:node-D7 and nodes:node-[232-233\ 244-245] child of command 1885,Targeting domains:{node_info} and nodes:{node_info}
Targeting domains:node-D7 and nodes:node-[232-233\ 244-245],Targeting domains:{node_info} and nodes:{node_info}
Targeting domains:node-D7 and nodes:node-[224-231] child of command 1882,Targeting domains:{node_info} and nodes:{node_info}
Targeting domains:node-D0 and nodes:node-[1\ 5\ 11\ 18],Targeting domains:{node_info} and nodes:{node_info}
Targeting domains:node-D[0-3] and nodes:node-[0-127],Targeting domains:{node_info} and nodes:{node_info}
Targeting domains:node-D[0\ 7] and nodes:node-[0-31\ 224-255],Targeting domains:{node_info} and nodes:{node_info}
Targeting domains:node-D5 and nodes:node-185 child of command 2006,Targeting domains:{node_info} and nodes:{node_info}
Targeting domains:node-D5 and nodes:node-[162-168\ 173] child of command 2002,Targeting domains:{node_info} and nodes:{node_info}
Targeting domains:node-D5 and nodes:node-[162-168\ 173],Targeting domains:{node_info} and nodes:{node_info}
